task_id,asset_id,asset_type,department,corridor_id,section_id,maintenance_type,defect_description,last_maintenance_date,maintenance_interval_days,next_due_date,overdue_days,condition_score,asset_age_years,failure_count_12m,safety_criticality,operational_criticality,estimated_duration_minutes,duration_buffer_minutes,required_team,required_block_type,required_resources,status
T0214,S&T_078,Relay,S&T,CORR_01,SEC_D_E,Emergency,Abnormal wear detected,2025-04-27,30,2025-05-27,474,6.52,18.1,2,5,9,45,10,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_02,Pending
T0215,TRD_073,Electrical Equipment,TRD,CORR_01,SEC_G_H,Corrective,Safety-related defect,2025-07-23,365,2026-07-23,52,9.23,9.8,3,10,3,180,10,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_02,Pending
T0216,S&T_034,Relay,S&T,CORR_01,SEC_A_B,Preventive,Inspection overdue,2024-08-21,180,2025-02-17,573,2.75,11.7,6,8,10,300,45,SNT_TEAM_A,Signal Block,SNT_TEAM_A|TEST_EQUIPMENT_01,Pending
T0217,TRD_027,Contact Wire,TRD,CORR_01,SEC_E_F,Preventive,Abnormal wear detected,2026-06-13,30,2026-07-13,62,4.99,27.0,0,4,4,180,10,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_02,Pending
T0218,S&T_051,Point Machine,S&T,CORR_01,SEC_E_F,Preventive,Routine preventive maintenance,2024-05-23,120,2024-09-20,723,6.18,30.3,3,10,3,120,30,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_01,Pending
T0219,TRD_075,Contact Wire,TRD,CORR_01,SEC_G_H,Preventive,Abnormal wear detected,2026-03-18,120,2026-12-12,0,3.81,13.4,2,6,7,180,20,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Deferred
T0220,S&T_074,Point Machine,S&T,CORR_01,SEC_C_D,Corrective,Safety-related defect,2024-04-02,120,2024-07-31,774,8.13,28.2,4,9,9,75,15,SNT_TEAM_A,Signal Block,SNT_TEAM_A|TEST_EQUIPMENT_01,Pending
T0221,S&T_072,Relay,S&T,CORR_01,SEC_E_F,Inspection,Condition deterioration detected,2025-04-16,90,2025-07-15,425,2.57,4.3,4,8,9,420,60,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_01,Pending
T0222,S&T_037,Point Machine,S&T,CORR_01,SEC_C_D,Preventive,Operational reliability issue,2024-03-23,60,2024-05-22,844,7.92,22.5,3,4,9,90,30,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_01,Pending
T0223,ENG_044,Track,Engineering,CORR_01,SEC_C_D,Preventive,Inspection overdue,2026-05-02,120,2026-08-30,14,7.47,26.4,4,9,7,180,20,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TRACK_TEAM_B,Pending
T0224,TRD_027,Mast,TRD,CORR_01,SEC_B_C,Preventive,Operational reliability issue,2023-11-18,30,2023-12-18,1000,3.31,18.8,7,10,8,240,45,TRD_TEAM_A,OHE Block,TRD_TEAM_A|TRD_TEAM_B,Pending
T0225,S&T_037,Point Machine,S&T,CORR_01,SEC_D_E,Preventive,Repeated minor failure,2026-01-12,180,2026-07-11,64,3.02,30.4,4,8,10,360,45,SNT_TEAM_B,Signal Block,SNT_TEAM_B|SNT_TEAM_A,In Progress
T0226,TRD_068,Electrical Equipment,TRD,CORR_01,SEC_G_H,Corrective,Routine preventive maintenance,2024-04-14,90,2026-11-19,0,5.87,15.0,1,4,10,90,20,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_01,Pending
T0227,TRD_039,Electrical Equipment,TRD,CORR_01,SEC_H_I,Preventive,Condition deterioration detected,2024-04-30,365,2025-04-30,501,6.68,14.4,0,8,6,150,30,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Pending
T0228,S&T_037,Point Machine,S&T,CORR_01,SEC_E_F,Corrective,Repeated minor failure,2025-12-14,90,2026-03-14,183,5.39,22.7,0,5,5,90,10,SNT_TEAM_B,Signal Block,SNT_TEAM_B|SNT_TEAM_A,Pending
T0229,ENG_014,Track,Engineering,CORR_01,SEC_C_D,Preventive,Routine preventive maintenance,2025-10-08,90,2026-01-06,250,2.68,8.4,5,8,8,240,45,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TAMPER_MACHINE_01,Pending
T0230,S&T_008,Signal,S&T,CORR_01,SEC_C_D,Preventive,Routine preventive maintenance,2024-10-22,120,2025-02-19,571,5.79,34.1,1,7,9,30,10,SNT_TEAM_B,Signal Block,SNT_TEAM_B|SNT_TEAM_A,Pending
T0231,ENG_067,Points,Engineering,CORR_01,SEC_B_C,Corrective,Condition deterioration detected,2025-02-01,60,2025-04-02,529,7.27,9.6,2,8,5,30,10,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TOOLS_01,Pending
T0232,ENG_002,Points,Engineering,CORR_01,SEC_F_G,Preventive,Safety-related defect,2023-12-01,60,2026-09-25,0,5.27,13.6,1,3,3,180,15,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TOOLS_01,Pending
T0233,TRD_017,Contact Wire,TRD,CORR_01,SEC_B_C,Corrective,Abnormal wear detected,2024-03-02,90,2024-05-31,835,8.02,13.2,2,10,6,30,30,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_02,Pending
T0234,TRD_073,Electrical Equipment,TRD,CORR_01,SEC_D_E,Preventive,Repeated minor failure,2024-11-21,180,2025-05-20,481,4.43,11.1,4,5,4,60,30,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_02,Pending
T0235,ENG_042,Drainage,Engineering,CORR_01,SEC_D_E,Corrective,Repeated minor failure,2025-03-21,30,2026-12-07,0,8.23,14.9,1,10,5,90,20,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TRACK_TEAM_B,Pending
T0236,ENG_014,Track,Engineering,CORR_01,SEC_D_E,Corrective,Inspection overdue,2024-11-06,30,2024-12-06,646,2.43,24.8,7,10,9,480,60,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TRACK_TEAM_B,Deferred
T0237,TRD_060,Electrical Equipment,TRD,CORR_01,SEC_B_C,Inspection,Condition deterioration detected,2023-08-23,365,2026-10-22,0,2.73,10.0,7,9,10,240,60,TRD_TEAM_A,OHE Block,TRD_TEAM_A|TRD_TEAM_B,In Progress
T0238,ENG_025,Bridge,Engineering,CORR_01,SEC_G_H,Preventive,Repeated minor failure,2025-10-22,30,2026-10-07,0,6.88,24.9,1,9,4,120,30,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TOOLS_01,Pending
T0239,TRD_041,Electrical Equipment,TRD,CORR_01,SEC_F_G,Corrective,Routine preventive maintenance,2024-11-02,90,2025-01-31,590,5.39,27.0,3,8,6,75,30,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Pending
T0240,S&T_039,Signal,S&T,CORR_01,SEC_C_D,Preventive,Abnormal wear detected,2024-04-15,60,2024-06-14,821,8.49,16.7,0,7,5,45,10,SNT_TEAM_A,Signal Block,SNT_TEAM_A|SNT_TEAM_B,Pending
T0241,ENG_010,Points,Engineering,CORR_01,SEC_D_E,Corrective,Condition deterioration detected,2023-09-23,90,2023-12-22,996,5.92,3.7,4,4,7,30,30,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TAMPER_MACHINE_01,Deferred
T0242,ENG_007,Track,Engineering,CORR_01,SEC_G_H,Preventive,Operational reliability issue,2025-08-13,120,2025-12-11,276,2.19,2.7,6,10,10,300,30,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TRACK_TEAM_B,Pending
T0243,ENG_011,Bridge,Engineering,CORR_01,SEC_F_G,Corrective,Inspection overdue,2024-07-10,120,2024-11-07,675,5.29,17.4,0,9,9,60,15,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TOOLS_01,Pending
T0244,ENG_056,Track,Engineering,CORR_01,SEC_E_F,Preventive,Routine preventive maintenance,2023-07-20,90,2026-10-28,0,3.29,11.9,3,9,8,120,15,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TOOLS_01,Pending
T0245,ENG_020,Bridge,Engineering,CORR_01,SEC_F_G,Inspection,Inspection overdue,2024-01-14,90,2024-04-13,883,7.68,24.6,1,5,7,30,20,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TAMPER_MACHINE_01,Pending
T0246,ENG_080,Drainage,Engineering,CORR_01,SEC_H_I,Corrective,Routine preventive maintenance,2023-10-02,90,2026-12-12,0,2.5,9.7,7,10,10,480,30,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TRACK_TEAM_A,Pending
T0247,ENG_047,Points,Engineering,CORR_01,SEC_E_F,Inspection,Component replacement required,2025-03-08,120,2025-07-06,434,3.15,4.4,7,8,9,480,60,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TRACK_TEAM_B,Pending
T0248,TRD_032,OHE,TRD,CORR_01,SEC_A_B,Inspection,Operational reliability issue,2024-09-26,180,2025-03-25,537,5.25,22.3,1,3,8,120,20,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_02,Pending
T0249,ENG_020,Drainage,Engineering,CORR_01,SEC_D_E,Preventive,Inspection overdue,2025-03-01,180,2025-08-28,381,3.11,15.5,3,6,9,75,15,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TRACK_TEAM_B,Pending
T0250,ENG_056,Drainage,Engineering,CORR_01,SEC_C_D,Emergency,Abnormal wear detected,2024-03-25,365,2026-10-24,0,7.09,7.3,4,5,8,45,10,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TAMPER_MACHINE_01,Pending
T0251,ENG_017,Bridge,Engineering,CORR_01,SEC_B_C,Preventive,Repeated minor failure,2026-02-01,60,2026-04-02,164,6.82,13.2,4,6,6,75,10,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TOOLS_01,Pending
T0252,S&T_018,Telecom,S&T,CORR_01,SEC_H_I,Preventive,Safety-related defect,2023-10-14,60,2023-12-13,1005,7.85,26.8,0,7,9,75,15,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_02,Pending
T0253,S&T_052,Point Machine,S&T,CORR_01,SEC_G_H,Inspection,Operational reliability issue,2023-08-26,60,2023-10-25,1054,7.54,29.1,3,3,4,180,30,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_02,Pending
T0254,TRD_038,OHE,TRD,CORR_01,SEC_D_E,Preventive,Repeated minor failure,2025-12-12,30,2026-01-11,245,5.73,29.2,3,7,3,60,30,TRD_TEAM_A,OHE Block,TRD_TEAM_A|TRD_TEAM_B,Pending
T0255,S&T_058,Telecom,S&T,CORR_01,SEC_F_G,Preventive,Repeated minor failure,2025-12-07,365,2026-12-07,0,8.68,4.1,0,7,8,60,10,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_02,Pending
T0256,S&T_022,Telecom,S&T,CORR_01,SEC_A_B,Inspection,Routine preventive maintenance,2025-11-30,90,2026-02-28,197,8.54,11.5,1,5,5,30,30,SNT_TEAM_A,Signal Block,SNT_TEAM_A|SNT_TEAM_B,In Progress
T0257,TRD_059,Mast,TRD,CORR_01,SEC_A_B,Corrective,Inspection overdue,2023-11-10,180,2024-05-08,858,6.76,14.9,3,6,6,180,30,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_02,Pending
T0258,ENG_008,Bridge,Engineering,CORR_01,SEC_C_D,Corrective,Safety-related defect,2025-10-01,60,2026-10-20,0,0.6,2.7,8,10,9,360,30,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TAMPER_MACHINE_01,Pending
T0259,ENG_042,Track,Engineering,CORR_01,SEC_E_F,Preventive,Routine preventive maintenance,2024-12-14,90,2025-03-14,548,7.81,5.1,4,4,7,180,15,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TOOLS_01,Pending
T0260,ENG_078,Track,Engineering,CORR_01,SEC_H_I,Inspection,Inspection overdue,2026-03-16,120,2026-07-14,61,5.49,18.7,2,7,8,60,30,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TOOLS_01,Pending
T0261,ENG_060,Track,Engineering,CORR_01,SEC_A_B,Corrective,Abnormal wear detected,2024-08-08,30,2024-09-07,736,1.12,12.9,8,9,9,240,45,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TAMPER_MACHINE_01,Pending
T0262,S&T_015,Relay,S&T,CORR_01,SEC_A_B,Corrective,Component replacement required,2026-02-06,120,2026-06-06,99,6.81,32.4,0,5,6,120,20,SNT_TEAM_A,Signal Block,SNT_TEAM_A|TEST_EQUIPMENT_01,Pending
T0263,TRD_053,Mast,TRD,CORR_01,SEC_H_I,Inspection,Operational reliability issue,2025-04-10,90,2026-10-03,0,1.4,1.6,9,10,9,480,60,TRD_TEAM_B,OHE Block,TRD_TEAM_B|TRD_TEAM_A,Pending
T0264,TRD_024,Contact Wire,TRD,CORR_01,SEC_G_H,Corrective,Repeated minor failure,2024-09-29,90,2024-12-28,624,7.44,17.9,2,3,7,150,10,TRD_TEAM_B,OHE Block,TRD_TEAM_B|TRD_TEAM_A,Pending
T0265,ENG_026,Drainage,Engineering,CORR_01,SEC_A_B,Inspection,Repeated minor failure,2026-05-08,90,2026-08-06,38,8.09,25.9,4,5,6,120,30,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TRACK_TEAM_B,Pending
T0266,ENG_050,Track,Engineering,CORR_01,SEC_H_I,Corrective,Safety-related defect,2025-03-01,30,2025-03-31,531,4.68,4.5,0,4,8,180,10,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TOOLS_01,Deferred
T0267,ENG_036,Bridge,Engineering,CORR_01,SEC_E_F,Corrective,Repeated minor failure,2026-07-21,180,2026-11-22,0,3.32,33.6,1,5,7,45,10,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TOOLS_01,Pending
T0268,TRD_022,Mast,TRD,CORR_01,SEC_D_E,Preventive,Component replacement required,2023-09-19,30,2023-10-19,1060,6.28,4.6,0,5,3,180,10,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_02,Pending
T0269,TRD_043,Mast,TRD,CORR_01,SEC_E_F,Inspection,Inspection overdue,2025-02-25,365,2026-02-25,200,8.17,4.3,0,10,5,45,30,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Pending
T0270,ENG_051,Drainage,Engineering,CORR_01,SEC_F_G,Preventive,Repeated minor failure,2025-05-20,120,2025-09-17,361,8.02,17.2,2,10,10,30,10,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TAMPER_MACHINE_01,Pending
T0271,TRD_014,OHE,TRD,CORR_01,SEC_G_H,Preventive,Safety-related defect,2025-07-26,30,2025-08-25,384,6.23,34.1,3,9,6,75,15,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Pending
T0272,TRD_010,Contact Wire,TRD,CORR_01,SEC_C_D,Corrective,Routine preventive maintenance,2025-09-09,30,2025-10-09,339,3.3,7.0,4,10,8,45,30,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Pending
T0273,ENG_075,Bridge,Engineering,CORR_01,SEC_C_D,Inspection,Safety-related defect,2025-03-10,90,2025-06-08,462,7.8,7.7,1,10,7,150,30,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TAMPER_MACHINE_01,Pending
T0274,ENG_017,Track,Engineering,CORR_01,SEC_G_H,Inspection,Operational reliability issue,2024-12-29,30,2026-12-12,0,2.15,4.7,4,8,10,480,45,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TOOLS_01,Pending
T0275,S&T_070,Telecom,S&T,CORR_01,SEC_G_H,Preventive,Component replacement required,2024-02-13,60,2026-12-05,0,3.82,34.9,3,8,9,60,20,SNT_TEAM_A,Signal Block,SNT_TEAM_A|SNT_TEAM_B,Pending
T0276,TRD_011,Electrical Equipment,TRD,CORR_01,SEC_C_D,Preventive,Component replacement required,2025-12-08,120,2026-04-07,159,8.76,19.8,4,9,5,180,30,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_01,Pending
T0277,TRD_053,Contact Wire,TRD,CORR_01,SEC_E_F,Inspection,Condition deterioration detected,2023-11-11,60,2024-01-10,977,9.35,33.7,4,10,8,45,30,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Pending
T0278,ENG_070,Points,Engineering,CORR_01,SEC_B_C,Inspection,Abnormal wear detected,2025-04-09,120,2025-08-07,402,8.83,20.5,4,3,10,180,30,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TAMPER_MACHINE_01,Pending
T0279,TRD_061,Mast,TRD,CORR_01,SEC_A_B,Corrective,Routine preventive maintenance,2023-11-05,90,2024-02-03,953,9.43,5.3,4,3,7,180,10,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Deferred
T0280,TRD_076,OHE,TRD,CORR_01,SEC_C_D,Corrective,Operational reliability issue,2023-11-20,60,2024-01-19,968,8.15,12.7,2,6,10,60,10,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_01,Pending
T0281,S&T_022,Point Machine,S&T,CORR_01,SEC_H_I,Preventive,Operational reliability issue,2025-02-07,120,2025-06-07,463,2.88,14.6,2,4,3,60,30,SNT_TEAM_A,Signal Block,SNT_TEAM_A|TEST_EQUIPMENT_01,Pending
T0282,S&T_068,Relay,S&T,CORR_01,SEC_C_D,Inspection,Abnormal wear detected,2023-12-17,180,2024-06-14,821,2.89,33.5,7,10,9,480,60,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_02,Deferred
T0283,S&T_013,Relay,S&T,CORR_01,SEC_E_F,Preventive,Inspection overdue,2023-06-18,30,2026-09-26,0,7.91,19.6,1,6,8,60,20,SNT_TEAM_A,Signal Block,SNT_TEAM_A|TEST_EQUIPMENT_02,Pending
T0284,TRD_025,Mast,TRD,CORR_01,SEC_E_F,Preventive,Condition deterioration detected,2026-08-03,60,2026-10-02,0,9.07,13.8,1,4,4,45,15,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_01,Pending
T0285,TRD_055,Electrical Equipment,TRD,CORR_01,SEC_E_F,Corrective,Component replacement required,2023-10-02,90,2023-12-31,987,4.3,12.3,0,7,3,150,30,TRD_TEAM_B,OHE Block,TRD_TEAM_B|TRD_TEAM_A,Pending
T0286,ENG_063,Points,Engineering,CORR_01,SEC_C_D,Preventive,Repeated minor failure,2026-08-14,365,2027-08-14,0,4.03,3.5,0,10,7,45,10,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TRACK_TEAM_A,Deferred
T0287,TRD_050,OHE,TRD,CORR_01,SEC_A_B,Preventive,Safety-related defect,2023-10-22,180,2026-11-02,0,6.52,29.7,4,10,10,150,30,TRD_TEAM_B,OHE Block,TRD_TEAM_B|TRD_TEAM_A,Pending
T0288,S&T_008,Relay,S&T,CORR_01,SEC_G_H,Corrective,Condition deterioration detected,2023-08-20,120,2023-12-18,1000,5.06,7.0,2,4,10,90,15,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_02,Pending
T0289,TRD_011,Mast,TRD,CORR_01,SEC_H_I,Inspection,Routine preventive maintenance,2026-06-12,365,2027-06-12,0,3.48,3.1,1,3,6,180,30,TRD_TEAM_B,OHE Block,TRD_TEAM_B|TRD_TEAM_A,Pending
T0290,S&T_016,Signal,S&T,CORR_01,SEC_G_H,Preventive,Repeated minor failure,2026-02-26,365,2027-01-08,0,5.71,26.0,4,5,6,45,10,SNT_TEAM_A,Signal Block,SNT_TEAM_A|SNT_TEAM_B,Pending
T0291,ENG_040,Bridge,Engineering,CORR_01,SEC_A_B,Inspection,Operational reliability issue,2024-08-25,30,2024-09-24,719,1.01,21.2,8,8,8,240,45,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TAMPER_MACHINE_01,Pending
T0292,S&T_042,Signal,S&T,CORR_01,SEC_C_D,Inspection,Routine preventive maintenance,2024-05-10,365,2025-05-10,491,6.65,26.8,2,4,4,90,15,SNT_TEAM_A,Signal Block,SNT_TEAM_A|TEST_EQUIPMENT_01,Pending
T0293,ENG_021,Track,Engineering,CORR_01,SEC_G_H,Preventive,Routine preventive maintenance,2024-12-06,180,2025-06-04,466,2.55,8.0,0,7,9,180,15,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TRACK_TEAM_B,Pending
T0294,TRD_079,Contact Wire,TRD,CORR_01,SEC_H_I,Emergency,Condition deterioration detected,2026-06-10,180,2026-12-21,0,4.93,22.0,0,6,6,45,10,TRD_TEAM_A,OHE Block,TRD_TEAM_A|OHE_VEHICLE_01,Pending
T0295,ENG_023,Points,Engineering,CORR_01,SEC_H_I,Preventive,Component replacement required,2025-12-15,30,2026-09-20,0,7.01,22.0,2,6,9,90,20,TRACK_TEAM_A,Engineering Block,TRACK_TEAM_A|TRACK_TEAM_B,Pending
T0296,TRD_031,OHE,TRD,CORR_01,SEC_B_C,Corrective,Component replacement required,2025-09-22,60,2025-11-21,296,5.43,4.3,2,6,4,120,15,TRD_TEAM_A,OHE Block,TRD_TEAM_A|TRD_TEAM_B,Pending
T0297,ENG_028,Points,Engineering,CORR_01,SEC_C_D,Inspection,Component replacement required,2023-08-05,365,2024-08-04,770,5.11,12.4,3,6,8,90,15,TRACK_TEAM_B,Engineering Block,TRACK_TEAM_B|TRACK_TEAM_A,Pending
T0298,S&T_044,Telecom,S&T,CORR_01,SEC_C_D,Preventive,Operational reliability issue,2026-02-26,60,2026-04-27,139,8.03,30.1,4,5,6,45,30,SNT_TEAM_B,Signal Block,SNT_TEAM_B|TEST_EQUIPMENT_01,Pending
T0299,TRD_042,Contact Wire,TRD,CORR_01,SEC_D_E,Preventive,Condition deterioration detected,2026-03-29,30,2026-04-28,138,9.12,34.7,4,3,9,30,10,TRD_TEAM_B,OHE Block,TRD_TEAM_B|OHE_VEHICLE_01,Pending
T0300,S&T_011,Telecom,S&T,CORR_01,SEC_D_E,Corrective,Routine preventive maintenance,2023-12-03,30,2024-01-02,985,1.72,23.0,5,8,9,360,30,SNT_TEAM_B,Signal Block,SNT_TEAM_B|SNT_TEAM_A,Pending
